City,Date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket
Jaipur,2018-02-24,74.56,173.37,26.21,49.15,65.37,36.05,0.98,17.05,40.12,2.28,8.63,,180.0,Moderate
Jaipur,2018-02-25,49.48,132.12,13.33,37.71,41.26,26.34,0.83,8.32,63.51,0.68,2.62,,148.0,Moderate
Jaipur,2018-02-26,42.24,111.95,13.97,43.16,47.11,26.92,0.81,10.13,53.56,0.61,2.47,,107.0,Moderate
Jaipur,2018-02-27,56.23,140.03,15.35,39.9,42.66,26.69,0.89,11.47,51.77,0.67,2.0,,130.0,Moderate
Jaipur,2018-02-28,55.39,135.15,13.49,39.98,43.46,26.86,0.99,8.37,81.28,1.03,3.01,,154.0,Moderate
Jaipur,2018-03-01,64.1,125.46,11.57,34.24,36.96,24.35,0.75,12.0,81.47,1.22,4.17,,147.0,Moderate
Jaipur,2018-03-02,55.62,96.5,10.77,38.45,40.16,25.44,0.76,8.08,56.37,0.75,4.72,,118.0,Moderate
Jaipur,2018-03-03,51.15,106.4,10.81,50.57,54.25,28.59,0.67,6.62,56.2,0.61,4.41,,111.0,Moderate
Jaipur,2018-03-04,56.89,112.89,11.9,45.56,49.83,33.53,0.71,8.31,58.18,0.57,3.76,,114.0,Moderate
Jaipur,2018-03-05,31.08,65.63,9.04,39.92,40.93,27.62,0.65,8.22,68.26,0.38,2.61,,105.0,Moderate
Jaipur,2018-03-06,33.67,76.99,12.09,47.97,51.47,26.16,0.65,10.76,61.55,0.54,2.85,,98.0,Satisfactory
Jaipur,2018-03-07,44.18,87.4,15.66,51.18,58.14,27.31,0.79,9.78,45.88,0.79,3.13,,103.0,Moderate
Jaipur,2018-03-08,30.45,74.35,13.12,43.17,48.29,23.28,0.62,9.88,60.92,0.79,3.18,,100.0,Satisfactory
Jaipur,2018-03-09,32.75,93.2,8.88,39.37,45.3,23.9,0.68,10.32,66.18,0.82,4.06,,99.0,Satisfactory
Jaipur,2018-03-10,45.01,101.44,7.93,38.12,42.08,20.44,0.77,12.32,91.2,0.92,2.08,,127.0,Moderate
Jaipur,2018-03-11,34.41,93.48,13.06,42.62,48.85,23.44,0.61,9.72,74.52,0.7,3.31,,113.0,Moderate
Jaipur,2018-03-12,42.66,114.52,14.24,47.37,56.16,25.5,1.07,7.8,62.44,0.83,4.02,,118.0,Moderate
Jaipur,2018-03-13,55.22,134.5,15.03,47.85,61.12,23.49,1.2,9.81,45.99,1.27,2.68,,133.0,Moderate
Jaipur,2018-03-14,47.13,149.6,11.63,41.97,51.65,20.16,0.67,10.37,24.9,0.57,2.35,,126.0,Moderate
Jaipur,2018-03-15,43.63,145.77,12.56,42.68,54.24,23.55,0.82,8.84,34.09,0.81,2.7,,133.0,Moderate
Jaipur,2018-03-16,50.2,145.28,9.71,36.64,45.46,21.3,0.69,10.57,60.08,1.04,2.25,,137.0,Moderate
Jaipur,2018-03-17,41.0,110.91,7.91,37.36,43.71,17.9,0.71,11.16,74.39,0.51,1.26,,124.0,Moderate
Jaipur,2018-03-18,33.6,95.43,6.73,34.5,39.58,15.99,0.76,11.81,84.96,0.71,1.27,,116.0,Moderate
Jaipur,2018-03-19,44.62,117.03,7.62,29.87,34.41,15.79,0.78,11.13,81.08,0.85,1.33,,113.0,Moderate
Jaipur,2018-03-20,41.72,102.34,9.1,39.72,44.5,19.97,0.78,9.02,50.35,0.44,1.53,,115.0,Moderate
Jaipur,2018-03-21,56.15,170.32,10.23,34.22,40.25,16.37,0.67,8.62,48.83,0.3,1.15,,125.0,Moderate
Jaipur,2018-03-22,52.94,137.88,8.89,29.2,33.77,20.57,0.73,9.33,71.21,0.35,0.88,,146.0,Moderate
Jaipur,2018-03-23,40.63,99.92,7.92,29.49,33.29,19.85,0.79,7.61,69.35,0.39,0.88,,113.0,Moderate
Jaipur,2018-03-24,48.33,99.02,8.93,38.26,43.21,17.58,0.73,8.77,53.65,0.47,1.33,,117.0,Moderate
Jaipur,2018-03-25,56.76,120.57,9.43,40.11,46.6,18.28,0.69,10.05,62.13,0.64,1.95,,139.0,Moderate
Jaipur,2018-03-26,56.16,122.38,20.9,48.03,65.21,23.62,1.17,10.06,42.88,1.41,5.43,,121.0,Moderate
Jaipur,2018-03-27,76.01,193.53,37.87,53.0,86.52,30.64,1.67,10.24,31.33,2.08,11.47,,172.0,Moderate
Jaipur,2018-03-28,49.92,145.62,10.75,34.58,40.83,19.53,0.86,11.31,43.54,0.71,1.7,,140.0,Moderate
Jaipur,2018-03-29,46.52,123.85,15.38,34.81,45.81,20.63,0.91,10.16,76.41,0.69,1.25,,131.0,Moderate
Jaipur,2018-03-30,60.9,165.81,11.89,35.24,42.69,19.86,0.72,11.24,66.68,0.59,1.38,,151.0,Moderate
Jaipur,2018-03-31,43.4,128.46,5.7,28.65,33.35,15.82,0.56,11.76,87.17,0.71,2.53,,140.0,Moderate
Jaipur,2018-04-01,54.63,150.31,5.06,26.69,31.74,21.56,0.72,9.94,100.86,1.17,2.95,,134.0,Moderate
Jaipur,2018-04-02,60.99,147.7,19.34,29.31,45.68,24.15,0.84,10.63,98.23,1.09,2.08,,150.0,Moderate
Jaipur,2018-04-03,62.79,164.25,9.79,33.62,39.32,19.23,0.83,9.35,91.4,0.81,2.05,,181.0,Moderate
Jaipur,2018-04-04,55.95,159.23,18.11,37.81,55.55,21.97,1.18,13.25,44.35,1.09,3.92,,142.0,Moderate
Jaipur,2018-04-05,62.98,168.6,10.44,35.89,43.27,21.16,0.74,11.46,70.08,0.83,3.07,,151.0,Moderate
Jaipur,2018-04-06,56.87,165.54,7.97,24.82,28.76,19.91,0.77,9.65,97.55,0.41,1.95,,145.0,Moderate
Jaipur,2018-04-07,45.6,130.82,8.9,34.27,39.97,27.39,1.03,8.96,93.05,0.77,3.24,,157.0,Moderate
Jaipur,2018-04-08,49.85,131.99,7.89,22.81,26.74,35.65,1.06,7.76,104.05,0.87,2.57,,158.0,Moderate
Jaipur,2018-04-09,39.81,114.73,7.39,25.52,28.75,28.36,0.8,7.84,98.39,0.49,2.36,,127.0,Moderate
Jaipur,2018-04-10,48.96,132.35,7.64,28.91,29.88,30.81,0.53,7.77,80.06,0.45,2.37,,129.0,Moderate
Jaipur,2018-04-11,42.24,107.11,6.42,30.38,34.97,25.95,0.66,6.34,70.35,0.75,4.23,,116.0,Moderate
Jaipur,2018-04-12,26.2,57.9,6.25,25.04,26.56,32.85,0.52,4.2,59.07,0.42,5.96,,100.0,Satisfactory
Jaipur,2018-04-13,27.64,67.81,9.52,39.4,38.41,21.54,0.68,7.09,43.98,0.29,3.42,,97.0,Satisfactory
Jaipur,2018-04-14,33.56,96.36,7.93,36.24,35.13,21.58,0.64,8.4,65.62,0.4,6.97,,124.0,Moderate
Jaipur,2018-04-15,37.67,114.8,8.38,35.9,35.45,23.19,0.6,7.43,60.73,0.35,8.62,,125.0,Moderate
Jaipur,2018-04-16,57.56,188.52,8.44,40.43,43.58,27.59,0.63,5.59,37.98,0.41,11.71,,130.0,Moderate
Jaipur,2018-04-17,51.78,162.73,8.54,35.93,38.92,23.86,0.61,7.5,40.94,0.35,12.08,,153.0,Moderate
Jaipur,2018-04-18,54.55,155.48,8.65,37.14,37.22,23.45,0.58,7.97,59.38,0.31,9.4,,149.0,Moderate
Jaipur,2018-04-19,64.1,167.26,11.68,45.78,48.99,28.08,0.78,7.73,45.28,0.45,10.29,,140.0,Moderate
Jaipur,2018-04-20,79.58,283.19,11.43,38.54,42.25,25.2,0.85,9.92,45.52,0.3,10.92,,202.0,Poor
Jaipur,2018-04-21,126.39,476.74,8.17,30.55,30.89,18.35,0.53,6.64,66.89,0.18,7.64,,434.0,Severe
Jaipur,2018-04-22,36.29,123.99,8.24,34.2,34.26,21.84,0.5,8.73,70.82,0.15,0.0,,185.0,Moderate
Jaipur,2018-04-23,96.02,109.14,4.74,33.55,34.61,22.12,0.7,6.96,71.61,0.32,3.79,,173.0,Moderate
Jaipur,2018-04-24,98.88,132.15,15.07,48.53,56.57,19.74,1.15,9.55,49.49,0.7,9.57,,124.0,Moderate
